sku,shape,carat,color,clarity,cut,price,url,image_url,type,lab
BN1001,Round,0.25,E,VVS1,Very Good,586,https://www.bluenile.com/diamond-details/1001,https://example.invalid/1001.jpg,Natural,GIA
BN1002,Round,0.27,D,VVS2,Excellent,633,https://www.bluenile.com/diamond-details/1002,https://example.invalid/1002.jpg,Natural,GIA
BN1003,Round,0.25,D,VVS1,Very Good,604,https://www.bluenile.com/diamond-details/1003,https://example.invalid/1003.jpg,Natural,GIA
BN1004,Round,0.24,G,VS2,Very Good,358,https://www.bluenile.com/diamond-details/1004,https://example.invalid/1004.jpg,Natural,GIA
LD1005,Round,0.27,H,VS2,Ideal,52,https://www.bluenile.com/diamond-details/1005,https://example.invalid/1005.jpg,Lab-Grown,IGI
LD1006,Round,0.24,E,VS2,Very Good,64,https://www.bluenile.com/diamond-details/1006,https://example.invalid/1006.jpg,Lab-Grown,IGI
LD1007,Round,0.25,E,VS2,Excellent,67,https://www.bluenile.com/diamond-details/1007,https://example.invalid/1007.jpg,Lab-Grown,IGI
LD1008,Round,0.27,E,VS2,Excellent,72,https://www.bluenile.com/diamond-details/1008,https://example.invalid/1008.jpg,Lab-Grown,IGI
BN1009,Round,0.49,D,VS2,Excellent,1809,https://www.bluenile.com/diamond-details/1009,https://example.invalid/1009.jpg,Natural,GIA
BN1010,Round,0.49,H,VVS1,Ideal,1634,https://www.bluenile.com/diamond-details/1010,https://example.invalid/1010.jpg,Natural,GIA
BN1011,Round,0.52,G,VVS2,Very Good,1644,https://www.bluenile.com/diamond-details/1011,https://example.invalid/1011.jpg,Natural,GIA
BN1012,Round,0.53,E,VS2,Excellent,1815,https://www.bluenile.com/diamond-details/1012,https://example.invalid/1012.jpg,Natural,GIA
LD1013,Round,0.51,F,VVS1,Very Good,296,https://www.bluenile.com/diamond-details/1013,https://example.invalid/1013.jpg,Lab-Grown,IGI
LD1014,Round,0.49,G,VS1,Very Good,230,https://www.bluenile.com/diamond-details/1014,https://example.invalid/1014.jpg,Lab-Grown,IGI
LD1015,Round,0.54,G,VS2,Very Good,239,https://www.bluenile.com/diamond-details/1015,https://example.invalid/1015.jpg,Lab-Grown,IGI
LD1016,Round,0.53,H,VVS2,Ideal,228,https://www.bluenile.com/diamond-details/1016,https://example.invalid/1016.jpg,Lab-Grown,IGI
BN1017,Round,0.78,H,VVS1,Very Good,2835,https://www.bluenile.com/diamond-details/1017,https://example.invalid/1017.jpg,Natural,GIA
BN1018,Round,0.81,G,VS2,Excellent,2512,https://www.bluenile.com/diamond-details/1018,https://example.invalid/1018.jpg,Natural,GIA
BN1019,Round,0.75,H,VVS1,Ideal,2855,https://www.bluenile.com/diamond-details/1019,https://example.invalid/1019.jpg,Natural,GIA
BN1020,Round,0.81,F,VS2,Ideal,3446,https://www.bluenile.com/diamond-details/1020,https://example.invalid/1020.jpg,Natural,GIA
LD1021,Round,0.74,D,VVS1,Ideal,604,https://www.bluenile.com/diamond-details/1021,https://example.invalid/1021.jpg,Lab-Grown,IGI
LD1022,Round,0.73,E,VVS1,Ideal,592,https://www.bluenile.com/diamond-details/1022,https://example.invalid/1022.jpg,Lab-Grown,IGI
LD1023,Round,0.73,G,VVS1,Very Good,489,https://www.bluenile.com/diamond-details/1023,https://example.invalid/1023.jpg,Lab-Grown,IGI
LD1024,Round,0.8,H,VVS2,Ideal,466,https://www.bluenile.com/diamond-details/1024,https://example.invalid/1024.jpg,Lab-Grown,IGI
BN1025,Round,1.05,G,VS1,Very Good,5587,https://www.bluenile.com/diamond-details/1025,https://example.invalid/1025.jpg,Natural,GIA
BN1026,Round,0.98,E,VS2,Excellent,6351,https://www.bluenile.com/diamond-details/1026,https://example.invalid/1026.jpg,Natural,GIA
BN1027,Round,0.98,F,VS2,Excellent,5445,https://www.bluenile.com/diamond-details/1027,https://example.invalid/1027.jpg,Natural,GIA
BN1028,Round,1.01,H,VVS2,Excellent,6289,https://www.bluenile.com/diamond-details/1028,https://example.invalid/1028.jpg,Natural,GIA
LD1029,Round,1.07,H,VS2,Excellent,745,https://www.bluenile.com/diamond-details/1029,https://example.invalid/1029.jpg,Lab-Grown,IGI
